ID_REF	VALUE	ABS_CALL	Detection p-value	
263661_at	354.8	P	0.000244	
263654_at	676.8	P	0.000244	
263653_at	78.6	A	0.171387	
263652_at	9.9	A	0.780518	
263651_at	553.8	P	0.000244	
263668_at	871.8	P	0.000244	
263650_at	65.1	A	0.366211	
263649_at	49.6	A	0.246094	
263648_at	77.3	A	0.665527	
263669_at	3180.3	P	0.000244	
263663_at	13650.8	P	0.000244	
263678_at	1313.7	P	0.000732	
263662_at	1750.4	P	0.000244	
263657_at	545.6	P	0.005859	
263659_at	3.2	A	0.900635	
263665_at	4267.8	P	0.000244	
263658_at	4.8	A	0.981445	
263655_at	61.1	A	0.246094	
263666_at	1072.7	P	0.000244	
263677_at	222.5	P	0.00415	
264609_at	1688.9	P	0.000244	
264601_at	15.5	A	0.567627	
264605_at	185.7	P	0.000244	
264612_at	108.7	A	0.334473	
264614_s_at	10.2	A	0.753906	
264615_at	274.3	P	0.00293	
264599_at	104.2	P	0.008057	
264598_at	132.8	P	0.037598	
264597_at	502.3	P	0.000244	
264596_at	8.1	A	0.633789	
264613_at	1266.6	P	0.000244	
264610_at	7.7	A	0.850342	
264604_at	96	P	0.030273	
264606_at	16.4	A	0.567627	
264603_at	24.8	A	0.366211	
264611_at	2032.4	P	0.000244	
264607_at	3188.5	P	0.000244	
264602_at	45.4	P	0.030273	
264608_at	286.9	P	0.023926	
264600_at	199.1	P	0.000732	
264595_at	2330.1	P	0.000244	
261178_at	158	P	0.023926	
261177_at	754.5	P	0.000244	
261176_at	709	P	0.001221	
261127_at	329.6	P	0.000732	
261175_at	823.1	P	0.000244	
261174_at	967.1	P	0.000244	
261129_at	3078.9	P	0.000244	
261173_at	393.8	P	0.018555	
261172_at	39.8	A	0.567627	
261153_at	791.3	P	0.000244	
261128_at	862.7	P	0.01416	
261130_at	802.1	P	0.000244	
261171_at	80.6	A	0.171387	
261124_at	194.5	P	0.001953	
261170_at	625.6	P	0.00415	
261169_at	105	A	0.19458	
261152_at	135.8	A	0.095215	
261168_at	126.5	A	0.149658	
261126_at	328.8	P	0.000732	
261155_at	525.6	P	0.018555	
261154_at	902.1	P	0.000244	
261167_at	559.7	P	0.000244	
261179_at	435.3	P	0.000732	
261125_at	540.9	P	0.000244	
265214_at	143.4	P	0.023926	
265194_at	4187.5	P	0.000244	
265213_at	86.6	A	0.080566	
265212_at	694.4	P	0.000732	
265215_at	4	A	0.753906	
265218_at	437.6	P	0.001221	
265192_at	465.6	P	0.008057	
265193_at	613.3	P	0.001221	
265217_s_at	312.2	P	0.00293	
265216_at	31.7	A	0.80542	
265191_at	277.5	P	0.008057	
264569_at	52.2	A	0.129639	
264584_at	1317.8	P	0.000244	
264568_at	403.9	P	0.005859	
264586_at	252.9	P	0.00293	
264583_at	235.8	A	0.095215	
264585_at	984.1	P	0.000244	
264575_at	7166.7	P	0.000732	
264587_at	539.5	P	0.000732	
264579_at	593.6	P	0.00293	
264581_at	369.7	P	0.046143	
264582_at	387.5	P	0.001953	
264567_s_at	130.1	A	0.111572	
264577_at	45.3	A	0.466064	
264566_at	239.2	P	0.00415	
264565_at	15.7	A	0.567627	
264564_at	1.1	A	0.904785	
264574_at	186.5	P	0.005859	
264573_at	109.5	P	0.001953	
264572_at	481.5	P	0.023926	
264571_at	5.5	A	0.633789	
264580_at	117.6	P	0.00415	
264570_at	380.7	P	0.000244	
264576_at	303.4	P	0.00293	
264578_at	16.4	A	0.80542	
261383_at	459.8	P	0.000244	
261388_at	936.8	P	0.001221	
261380_at	17.9	A	0.696289	
261387_at	116.7	P	0.00293	
261386_at	707.7	P	0.000244	
261384_at	92.4	A	0.129639	
261385_at	41.7	A	0.095215	
261381_at	72	A	0.111572	
261382_at	93.1	A	0.095215	
263204_at	4.5	A	0.533936	
263203_at	9.4	A	0.533936	
263205_at	404.7	P	0.000244	
263175_at	22.4	A	0.780518	
263185_at	676.6	P	0.000244	
263176_at	14.9	A	0.567627	
263177_at	239.6	P	0.046143	
263178_at	64.3	A	0.19458	
263184_at	108.1	P	0.000244	
263183_at	1684.4	P	0.000732	
263182_at	160.4	P	0.000732	
263233_at	6.5	A	0.888428	
263199_at	117.7	P	0.030273	
263200_at	223.5	P	0.01416	
263201_at	37	A	0.219482	
263180_at	323.6	P	0.000244	
263202_at	326.8	P	0.001221	
263229_s_at	13.5	A	0.633789	
263230_at	47.2	A	0.111572	
263231_at	25.7	A	0.567627	
257451_at	189.4	A	0.067627	
263232_at	41	A	0.111572	
263179_at	121	P	0.018555	
263181_at	904.1	P	0.000244	
257452_at	40	A	0.19458	
261310_at	136.5	A	0.111572	
261256_at	177.8	P	0.010742	
261311_at	6.5	A	0.870361	
261312_at	501.8	P	0.00415	
261278_at	2.6	A	0.601074	
261254_at	931.5	P	0.000244	
261252_at	236	P	0.000732	
261253_at	318.1	P	0.000244	
261279_at	6520.8	P	0.000244	
261280_at	94.3	A	0.067627	
261249_at	132.5	P	0.046143	
261250_at	252.6	P	0.001221	
261255_at	194.4	A	0.080566	
261257_at	455.3	A	0.080566	
261251_at	14.9	A	0.665527	
260927_at	1558.8	P	0.000732	
260945_at	25.5	A	0.601074	
260961_at	375.9	P	0.000244	
260960_at	31.7	A	0.334473	
260955_at	807.8	P	0.000732	
260946_at	304.9	P	0.000244	
260947_at	4.8	A	0.80542	
260956_at	3744.8	P	0.000244	
260959_at	296.3	P	0.000244	
260958_at	448.1	P	0.000732	
260953_at	415.5	P	0.000732	
260957_at	224.2	P	0.001953	
260948_at	140.6	P	0.001221	
260949_at	668.9	P	0.000244	
260950_s_at	84.7	A	0.219482	
260954_at	356.8	P	0.000244	
260952_at	55.5	A	0.5	
260951_at	79.3	A	0.080566	
260783_at	54.3	A	0.095215	
257491_at	13	A	0.533936	
260784_at	150.7	P	0.008057	
