ID_REF	VALUE	ABS_CALL	Detection p-value
263653_at	110.9	A	0.129639
263652_at	4.8	A	0.72583
263651_at	577.9	P	0.000244
263668_at	1319.5	P	0.000244
263650_at	103.6	A	0.171387
263649_at	67.8	A	0.171387
263648_at	12.1	A	0.665527
263669_at	3251.7	P	0.000244
263663_at	10896.8	P	0.000244
263678_at	1118.7	P	0.00293
263662_at	1747.8	P	0.000244
263657_at	495.5	P	0.018555
263659_at	4	A	0.870361
263665_at	3907.7	P	0.000244
263658_at	6.9	A	0.888428
263655_at	69.2	A	0.303711
263666_at	1115.6	P	0.000244
263677_at	282.8	P	0.01416
264609_at	1543.4	P	0.000732
264601_at	69.3	A	0.334473
264605_at	257.4	P	0.000244
264612_at	86	A	0.398926
264614_s_at	19	A	0.696289
264615_at	253.8	P	0.000244
264599_at	85.2	A	0.080566
264598_at	134.7	P	0.046143
264597_at	451.2	P	0.000732
264596_at	10.2	A	0.80542
264613_at	1151.3	P	0.000244
264610_at	22.8	A	0.780518
264604_at	91.4	A	0.129639
264606_at	69.3	A	0.398926
264603_at	21.6	A	0.466064
264611_at	2010.1	P	0.000244
264607_at	3154.4	P	0.000244
264602_at	63.1	P	0.030273
264608_at	345.4	P	0.037598
264600_at	213.6	P	0.000732
264595_at	2758.7	P	0.000244
261178_at	256.9	P	0.000732
261177_at	983.6	P	0.000244
261176_at	571.7	P	0.001221
261127_at	342	P	0.000732
261175_at	884.2	P	0.000244
261174_at	925.6	P	0.000244
261129_at	3424	P	0.000244
261173_at	434.7	P	0.008057
261172_at	61.5	A	0.219482
261153_at	778.6	P	0.000244
261128_at	986.2	P	0.00293
261130_at	717.2	P	0.000244
261171_at	78.6	A	0.129639
261124_at	259.1	P	0.018555
261170_at	805.3	P	0.001953
261169_at	71.3	A	0.219482
261152_at	127	A	0.19458
261168_at	102.2	A	0.19458
261126_at	437	P	0.000244
261155_at	463.7	P	0.018555
261154_at	1033	P	0.000244
261167_at	296.2	P	0.000244
261179_at	334.2	P	0.000732
261125_at	482.2	P	0.000244
265214_at	140.2	A	0.246094
265194_at	2943.1	P	0.000244
265213_at	89.7	A	0.149658
265212_at	888.8	P	0.001221
265215_at	8.3	A	0.665527
265218_at	435.2	P	0.008057
265192_at	416.1	P	0.005859
265193_at	611.4	P	0.001953
265217_s_at	306	P	0.005859
265216_at	8.2	A	0.780518
265191_at	260.3	P	0.008057
264569_at	70.9	A	0.095215
264584_at	1746.2	P	0.000244
264568_at	393.8	P	0.010742
264586_at	294.5	P	0.00415
264583_at	235.4	A	0.129639
264585_at	773.9	P	0.000244
264575_at	7943.2	P	0.000244
264587_at	515.7	P	0.000732
264579_at	550.1	P	0.008057
264581_at	409.4	A	0.067627
264582_at	472.3	P	0.008057
264567_s_at	97	A	0.095215
264577_at	81.2	A	0.27417
264566_at	196.1	P	0.005859
264565_at	43.5	A	0.366211
264564_at	21.1	A	0.5
264574_at	122.7	A	0.19458
264573_at	95.7	A	0.149658
264572_at	391.8	P	0.030273
264571_at	46.6	A	0.398926
264580_at	88.6	A	0.19458
264570_at	322.1	P	0.000244
264576_at	346.1	P	0.00415
264578_at	22.5	A	0.665527
261383_at	601.4	P	0.000244
261388_at	1232.6	P	0.000244
261380_at	19.6	A	0.601074
261387_at	190.6	P	0.000732
261386_at	811.7	P	0.000244
261384_at	131.7	A	0.171387
261385_at	42.6	A	0.27417
261381_at	101.4	M	0.056152
261382_at	119	A	0.149658
263204_at	13.5	A	0.601074
263203_at	35.7	A	0.432373
263205_at	414.1	P	0.001221
263175_at	12.6	A	0.850342
263185_at	588.8	P	0.000244
263176_at	11.8	A	0.601074
263177_at	284.5	P	0.023926
263178_at	112.8	A	0.111572
263184_at	95.2	P	0.00415
263183_at	1265	P	0.001953
263182_at	121.3	P	0.008057
263233_at	5.6	A	0.98584
263199_at	141.6	P	0.030273
263200_at	224	P	0.018555
263201_at	65	A	0.111572
263180_at	424.4	P	0.000244
263202_at	339.3	P	0.00293
263229_s_at	4.9	A	0.567627
263230_at	71.4	P	0.01416
263231_at	27.3	A	0.665527
257451_at	202.9	P	0.023926
263232_at	55.8	A	0.080566
263179_at	181.5	P	0.01416
263181_at	712.9	P	0.000244
257452_at	37.6	A	0.27417
261310_at	141.8	A	0.129639
261256_at	169.1	P	0.008057
261311_at	9.4	A	0.904785
261312_at	596.8	P	0.005859
261278_at	8.5	A	0.696289
261254_at	955.3	P	0.000244
261252_at	342.8	P	0.00415
261253_at	408.5	P	0.000732
261279_at	7769	P	0.000244
261280_at	141.5	A	0.067627
261249_at	24.7	A	0.5
261250_at	195	P	0.001953
261255_at	232.5	P	0.037598
261257_at	318	A	0.171387
261251_at	8.3	A	0.80542
260927_at	1756.6	P	0.001221
260945_at	26.3	A	0.72583
260961_at	417.1	P	0.000732
260960_at	7.2	A	0.601074
260955_at	496.2	P	0.001221
260946_at	264	P	0.00293
260947_at	7.5	A	0.72583
260956_at	4758	P	0.000244
260959_at	295.5	P	0.001953
260958_at	455.1	P	0.000732
260953_at	434.5	P	0.000244
260957_at	298.7	P	0.000244
260948_at	207.4	P	0.01416
260949_at	751.8	P	0.000244
260950_s_at	103.4	A	0.149658
260954_at	280.6	P	0.000732
260952_at	77.1	A	0.366211
260951_at	111.3	A	0.149658
260783_at	102.6	A	0.095215
257491_at	1.5	A	0.919434
260784_at	220.2	P	0.018555
260793_at	1491.2	P	0.000244
260785_at	1641.9	P	0.000732
260794_at	329.9	P	0.001953
260786_s_at	837.8	P	0.000244
260795_at	41.1	A	0.27417
260787_at	444	P	0.001953
260790_at	371.9	P	0.00415
260791_at	89.8	M	0.056152
260788_at	67.1	A	0.334473
260792_at	12.9	A	0.665527
260789_s_at	1711.2	P	0.000244
259419_at	18.3	A	0.398926
259389_at	96.2	A	0.303711
259390_at	10.1	A	0.601074
259391_s_at	850.6	P	0.000244
259392_at	198.5	P	0.037598
259396_at	593.1	P	0.000244
259395_at	721.9	P	0.00293
259393_at	898.6	P	0.000244
259394_at	9.2	A	0.633789
262626_at	790.1	P	0.000732
262625_at	97.6	A	0.219482
262624_at	156	P	0.001953
262629_at	7260	P	0.000244
262623_at	595.1	P	0.001953
262628_at	217.2	P	0.008057
262631_at	295.4	P	0.005859
262622_at	361.7	P	0.000244
262630_at	96.5	A	0.095215
262621_at	1017.2	P	0.000244
262620_at	3.8	A	0.72583
262619_at	261.5	P	0.000732
262618_at	409.8	P	0.000732
262635_at	592.8	P	0.00415
262627_at	5.7	A	0.828613
262617_at	111.6	A	0.129639
262616_at	95.8	A	0.080566
262633_at	319.2	P	0.001221
262637_at	1142.8	P	0.000244
262638_at	1290.3	P	0.000732
262636_at	455.7	P	0.000732
262632_at	21552.4	P	0.000244
262634_at	1364.8	P	0.000244
260835_at	917.1	P	0.001221
260826_at	53	A	0.219482
260824_at	301.2	P	0.000732
260834_at	200.1	P	0.00293
260827_at	196.8	A	0.111572
260828_at	10.9	A	0.80542
260830_at	2056.1	P	0.000244
260823_at	89.2	A	0.19458
260832_at	273.1	P	0.000732
260822_at	474.3	P	0.005859
260833_at	17.7	A	0.601074
260825_at	45.3	A	0.334473
