ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
256992_at	100.9	A	0.19458	87.978	N
257042_s_at	145.5	P	0.00415	128.396	N
256993_at	615.4	P	0.0058590000000000005	480.033	N
257015_at	28.0	A	0.43237299999999995	60.496	N
257016_at	440.1	P	0.000244	451.137	N
256986_at	185.7	P	0.046143	184.101	N
256988_s_at	1964.2	P	0.000244	3985.678	N
256579_at	818.9	P	0.000244	647.82	N
256590_at	1244.9	P	0.000244	1032.93	N
256589_at	111.9	A	0.06762699999999999	80.46	N
256584_at	6.4	A	0.696289	4.585	N
256585_at	168.5	P	0.000732	261.346	N
256586_at	21.3	A	0.533936	15.09	N
256587_at	2.7	A	0.991943	6.45	N
256588_at	17.2	A	0.696289	30.672	N
256580_s_at	15.0	A	0.633789	13.125	N
256581_at	7.0	A	0.989258	5.47	N
256582_at	30.4	A	0.43237299999999995	25.474	N
256583_at	60.4	P	0.010742	157.259	N
257137_at	936.2	P	0.000244	1378.855	N
257138_at	0.8	A	0.870361	34.205	N
257139_at	105.8	P	0.030273	59.59	N
257141_at	2485.7	P	0.000244	2856.438	N
257140_at	538.5	P	0.0058590000000000005	332.897	N
256622_at	122.3	P	0.008057	317.456	N
258002_at	1082.1	P	0.001953	424.553	Y
258000_at	6750.6	P	0.000244	2955.273	Y
258001_at	343.5	P	0.000732	369.737	N
257543_at	106.6	P	0.000244	111.02	N
258057_at	411.3	P	0.000732	499.303	N
258058_at	12.5	A	0.72583	7.706	N
258056_at	111.7	P	0.000732	146.505	N
258004_at	26.3	A	0.46606400000000003	53.803	N
258003_at	1419.9	P	0.000244	1705.531	N
258059_at	166.0	A	0.219482	268.579	N
257106_at	17.3	A	0.5	38.118	N
257107_at	50.4	A	0.080566	27.759	N
258245_at	241.7	P	0.001221	243.255	N
258190_at	8.2	A	0.7539060000000001	21.308	N
258193_at	370.8	P	0.001953	516.742	N
258191_at	70.0	A	0.111572	114.505	N
258192_at	81.9	A	0.129639	21.939	N
258246_s_at	138.3	A	0.095215	149.915	N
258247_at	169.8	A	0.080566	150.598	N
258248_at	20.5	A	0.696289	28.318	N
257539_at	11.8	A	0.870361	9.339	N
258221_at	796.1	P	0.000732	779.417	N
258194_at	462.4	P	0.000244	505.113	N
256747_at	329.4	P	0.000244	639.516	N
257773_at	930.9	P	0.000244	1731.835	N
257776_at	12.0	A	0.850342	29.182	N
257746_at	336.9	P	0.014159999999999999	318.642	N
257777_x_at	41.7	A	0.27416999999999997	78.738	N
257778_at	36.9	A	0.567627	19.408	N
257744_at	546.1	P	0.000244	514.159	N
257745_at	3987.7	P	0.000244	1949.11	Y
257774_at	10.3	A	0.850342	14.569	N
257775_at	36.3	A	0.334473	41.373	N
257575_at	19.4	A	0.46606400000000003	29.508	N
256611_at	645.7	P	0.001221	517.091	N
256612_at	219.1	P	0.0058590000000000005	255.57	N
256613_at	72.8	P	0.0058590000000000005	246.523	N
256614_at	67.0	A	0.111572	90.665	N
256764_at	64.2	P	0.023926	118.34	N
256746_at	5726.9	P	0.000244	4524.717	N
256740_at	20.6	A	0.46606400000000003	80.84	N
256744_at	1006.7	P	0.000244	1391.329	N
256745_at	1888.8	P	0.000244	1911.81	N
256743_at	70.3	A	0.19458	71.189	N
256741_at	135.1	M	0.056152	246.46	N
256742_at	77.9	A	0.27416999999999997	61.336	N
256734_at	327.1	A	0.19458	307.281	N
256735_at	487.1	P	0.014159999999999999	431.706	N
256736_at	7.6	A	0.8286129999999999	40.344	N
256737_at	6.0	A	0.870361	5.448	N
256738_at	27.0	A	0.246094	27.975	N
256739_s_at	18.9	A	0.095215	21.905	N
255972_at	12.3	A	0.567627	31.079	N
255971_at	1.4	A	0.850342	10.694	N
255722_at	27.0	A	0.633789	61.735	N
255723_at	381.5	A	0.129639	274.477	N
256924_at	72.3	A	0.111572	59.657	N
256925_at	0.8	A	0.80542	10.257	N
257566_x_at	2.9	A	0.919434	7.135	N
256953_at	35.1	A	0.17138699999999998	51.951	N
256923_at	72.5	A	0.080566	73.15	N
256604_at	9.3	A	0.567627	7	N
257284_at	97.4	A	0.06762699999999999	41.389	N
257287_at	4.1	A	0.7539060000000001	25.598	N
257288_at	14.0	A	0.567627	133.87	N
257289_at	3.5	A	0.953857	14.954	N
257281_s_at	108.7	A	0.19458	73.397	N
257282_at	3.4	A	0.870361	16.766	N
257283_at	23.9	A	0.533936	12.888	N
257285_at	501.1	P	0.001221	642.718	N
257286_s_at	18.0	A	0.567627	29.536	N
256564_at	150.0	P	0.030273	149.533	N
256562_at	13.3	A	0.533936	7.141	N
256563_at	3.8	A	0.9438479999999999	32.926	N
245222_at	7.8	A	0.850342	7.06	N
245223_at	2.4	A	0.780518	25.874	N
257347_at	18.4	A	0.696289	26.121	N
245224_at	97.2	A	0.19458	101.306	N
245225_at	21.0	A	0.8286129999999999	10.903	N
245228_at	86.2	P	0.037598	123.474	N
245226_at	67.0	A	0.334473	60.02	N
245227_s_at	174.8	P	0.00415	183.017	N
257577_at	7.6	A	0.953857	6.664	N
257578_x_at	142.8	A	0.080566	108.465	N
256598_at	775.3	P	0.000244	664.896	N
257301_at	2.8	A	0.9858399999999999	5.63	N
257306_at	14.5	A	0.72583	7.683	N
257307_at	31.2	A	0.334473	22.812	N
257302_at	46.5	A	0.334473	43.057	N
